200
1 2
9.2376175338 23.2980501552 17.2636635743
4.0085609035  6.9090456801  5.3873731070
1.9789142362 14.7686493596  1.8611158214
5.5531464016  5.5680824082 10.0870216006
5.7559405411  6.3469500780  8.8931381665
2.4565081371 12.0065565283  3.5599093463
4.4299083324  5.6509012151  7.4725969790
3.7416527438  7.0189995029  6.4352643077
7.9735759818 14.7055623661 13.0040447507
1.0927550215 21.6319375258  0.9383453641
7.4049484775 12.5113743541 13.0697426805
8.9034672094 21.9579275143 15.9239928905
4.5695056725  5.3421395225  6.2100386408
7.8473389117 14.7439749447 14.3517344737
5.9444149296  7.4117579567  8.9321701324
1.6675276841 16.6942064343  0.5199293756
8.5749710510 18.9077476842 15.9117530461
2.2750807084 12.6537127593  2.2879225964
8.3647305703 17.1331130584 14.9629897914
5.2251189904  5.3701479221  9.1896530273
3.3957410517  9.5275327942  4.3930412594
0.6045667174 25.7984640819 -0.0185361579
8.2630209102 16.0760009513 14.6358200802
5.4715609365  5.4905986799  8.2644137939
9.1788557593 23.6000537709 15.3899690420
5.8306132874  6.4445402441  9.9719930556
0.7848860490 24.4134029888  0.4745878179
3.3466315952  7.9363534938  5.3365316893
6.8648058921 10.2852612695 12.2076489420
3.3958488481  9.0158314786  5.7877276646
1.2585932985 19.6369752519  1.0968728810
3.7651043074  7.4890843189  4.8165406871
0.2783758865 27.7084668617 -1.2503042558
5.7150084181  6.9903710252  9.4888461136
8.4602619016 18.4336815896 15.4480737361
5.6079219165  6.4936956329 10.1931552533
8.0976744536 15.8336980878 13.6493876172
0.1035423268 29.4835921944 -2.4954597133
3.3444527475  9.4093134227  3.7555815566
8.3878275916 17.3213525858 15.4284660101
5.9902156732  7.6687419037 10.7743437589
7.1179242097 10.6284828403 12.0071329074
2.9449765244 10.9186214752  2.9733964037
7.5465539420 12.5928203009 12.3758365696
6.2233917329  6.8452765510 10.0544202431
2.9563049242 10.4385897608  4.6400739313
2.2018252758 13.7025834184  3.2404000615
5.1546524096  5.2687157690  9.2523518079
7.8598692538 13.6516208877 14.1060932317
2.8366452714 10.4307396758  4.0936856468
7.5755905976 12.7149874554 13.2696703577
0.3334363945 27.7847710383 -0.3623547043
6.0361356941  7.9656757285  9.8743038351
2.9261197067 10.1632881329  3.1563096335
4.6899555419  6.9187636244  7.5946853098
1.4149004178 17.9499961087  0.1458169836
3.7694810748  8.3927813560  5.3478112462
5.1659633657  6.3615971477  9.2801378597
2.8506123782 11.2894828120  3.0497577056
2.1983485194 14.7268716107  2.9089055382
8.9156504969 21.2148435802 15.2023620321
8.1558263988 15.2840388625 14.4881266657
3.0083243200 10.0146363641  3.8816290142
2.0986770543 13.4230611121  2.8793991418
0.5336642679 25.3723133057 -0.9476149035
2.9350949152 10.2502030607  4.3727152270
4.4587556764  6.3442664722  6.2249737247
0.7660337515 23.3442898520 -1.1529006664
0.0090504383 31.2787464087 -2.3586929310
7.4156784979 11.3780768723 13.4900061937
8.3776547130 17.5616374043 15.5833340859
6.0260491371  6.5394436010  9.4246991634
5.8651690193  7.0997609273  9.1557642092
7.1695799049 10.7990443900 11.8572172294
8.9895032877 21.1467533899 16.8978592310
7.8220935480 13.5973897068 13.4285865810
6.7918389893  8.8292032058 11.7352772297
7.9921305981 15.4328449132 13.8765813285
9.1113736932 23.6333452159 15.7883905670
6.2156624345  8.0621960873 10.8398643793
7.5282583679 11.4432950723 13.2293421339
1.9700738597 14.2019368019  1.1226165058
6.4970039971  8.0252875141 11.4910214466
3.9590798631  7.7826745383  5.7758340927
8.0215243861 15.8071100558 13.2152014087
2.0539100291 15.1578868161  3.0054068263
4.2285448860  5.6490289056  7.4148259642
8.2453248144 16.3023581661 14.5570083355
0.0017300546 30.4982880128 -1.2483314479
8.5138875539 19.2760673630 14.5733169632
6.6346314924  8.9524012748 12.1660865892
0.7422007393 23.8662212015  0.2391199224
